timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,stadium_name,result
1713043800,Apr 13 2024 - 9:30pm,complete,,Internacional,Bahia,,1,0.0,0.0,1.6,1.0,2,1,3,0,0,0,"72,83",70,6,3,4,0,4,0,2,2,1,3,17,8,10,5,7,3,23,12,52,48,0.0,0.0,2.13,1.09,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio José Pinheiro Borda,home_win
1713043800,Apr 13 2024 - 9:30pm,complete,,Criciúma,Juventude,Bruno Pereira Vasconcelos,1,0.0,0.0,1.38,0.54,1,1,2,1,1,0,36,64,0,4,4,0,6,0,0,4,3,3,8,12,4,5,4,7,9,13,47,53,0.0,0.0,0.99,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Heriberto Hülse,tie
1713052800,Apr 14 2024 - 12:00am,complete,,Fluminense,Bragantino,,1,0.0,0.0,1.42,0.62,2,2,4,1,1,0,"45'4,68","47,52",13,6,3,0,4,0,2,1,2,2,22,16,12,9,10,7,8,17,69,31,0.0,0.0,2.75,1.97,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,tie
1713052800,Apr 14 2024 - 12:00am,complete,,São Paulo,Fortaleza,,1,0.0,0.0,2.23,1.36,1,2,3,0,0,0,84,"66,8",11,4,3,0,3,0,0,3,1,2,12,6,7,3,5,3,10,13,72,28,0.0,0.0,1.75,0.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Morumbí,away_win
1713121200,Apr 14 2024 - 7:00pm,complete,,Vasco da Gama,Grêmio,Flavio Rodrigues De Souza,1,0.0,0.0,2.0,1.0,2,1,3,2,2,0,"24,37",68,3,5,5,0,0,0,1,4,0,0,11,8,4,3,7,5,18,9,47,53,0.0,0.0,1.35,1.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Club de Regatas Vasco da Gama,home_win
1713121200,Apr 14 2024 - 7:00pm,complete,,Corinthians,Atlético Mineiro,,1,0.0,0.0,1.58,1.45,0,0,0,0,0,0,,,3,3,8,0,5,1,5,3,3,3,10,6,3,4,7,2,12,13,49,51,0.0,0.0,1.12,0.85,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Arena Corinthians,tie
1713121200,Apr 14 2024 - 7:00pm,complete,,Atlético PR,Cuiabá,Jonathan Benkenstein Pinheiro,1,0.0,0.0,1.27,1.09,4,0,4,3,3,0,"23,37,39,81",,7,0,0,0,3,0,0,0,2,1,16,3,10,2,6,1,14,9,62,38,0.0,0.0,2.21,0.45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,home_win
1713121200,Apr 14 2024 - 7:00pm,complete,,Atlético GO,Flamengo,,1,0.0,0.0,0.75,1.5,1,2,3,1,0,1,63,"45'6,90'13",4,4,5,2,3,0,5,2,1,2,10,11,5,3,5,8,10,11,32,68,0.0,0.0,1.21,1.26,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,,away_win
1713124800,Apr 14 2024 - 8:00pm,complete,,Cruzeiro,Botafogo,,1,0.0,0.0,2.42,1.69,3,2,5,2,1,1,"20,65,90'1","5,83",6,3,4,0,3,1,2,2,2,2,10,7,6,4,4,3,6,9,56,44,0.0,0.0,1.46,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Governador Magalhães Pinto,home_win
1713130200,Apr 14 2024 - 9:30pm,complete,,Vitória,Palmeiras,Braulio da Silva Machado,1,0.0,0.0,1.08,1.58,0,1,1,1,0,1,,20,3,9,3,0,5,0,2,1,2,3,10,12,6,5,4,7,13,14,57,43,0.0,0.0,1.33,1.42,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Manoel Barradas,away_win
1713313800,Apr 17 2024 - 12:30am,complete,23080.0,Bahia,Fluminense,,2,0.0,0.0,2.17,0.83,2,1,3,2,1,1,"34,61",4,4,3,4,0,5,0,2,2,0,5,11,7,6,4,5,3,16,21,40,60,0.0,0.0,1.55,0.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Arena Fonte Nova,home_win
1713391200,Apr 17 2024 - 10:00pm,complete,,Grêmio,Atlético PR,Marcelo de Lima Henrique,2,0.0,0.0,1.33,1.25,2,0,2,1,1,0,"19,51",,9,2,1,0,3,0,0,1,1,2,12,4,8,0,4,4,7,14,48,52,0.0,0.0,1.64,0.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Arena do Grêmio,home_win
1713391200,Apr 17 2024 - 10:00pm,complete,,Bragantino,Vasco da Gama,,2,0.0,0.0,2.0,0.83,2,1,3,1,1,0,"7,78",63,4,6,2,0,0,0,0,2,0,0,15,12,6,4,9,8,14,15,40,60,0.0,0.0,1.76,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Nabi Abi Chedid,home_win
1713394800,Apr 17 2024 - 11:00pm,complete,,Atlético Mineiro,Criciúma,,2,0.0,0.0,1.42,0.91,1,1,2,1,1,0,40,84,9,2,2,0,4,0,0,2,2,2,15,6,7,2,8,4,9,9,68,32,0.0,0.0,1.95,0.77,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,Estádio Raimundo Sampaio,tie
